Title,Description,URL
Linux,Linux is an open source kernel.,https://github.com/topics/linux
Localization,Translation of a software interface and messages to another language plus to work with local cultures.,https://github.com/topics/localization
Lua,"Lua is a lightweight, embeddable scripting language.",https://github.com/topics/lua
Machine learning,Machine learning is a way of modeling and interpreting data that allows a piece of software to respond intelligently.,https://github.com/topics/machine-learning
macOS,macOS is Apple's operating system.,https://github.com/topics/macos
Markdown,Markdown is a lightweight markup language.,https://github.com/topics/markdown
Mastodon,"Mastodon is a free, decentralized, open-source microblogging network.",https://github.com/topics/mastodon
Material design,Material design is a unified system of theory and tools for creating digital experiences developed by Google.,https://github.com/topics/material-design
MATLAB,MATLAB is a programming platform for numerical computation and visualization.,https://github.com/topics/matlab
Maven,Maven is a build automation tool used primarily for Java projects.,https://github.com/topics/maven
Minecraft,Minecraft is a sandbox video game.,https://github.com/topics/minecraft
Mobile,"Mobile apps, mobile OS, mobile databases, & mobile testing frameworks.",https://github.com/topics/mobile
Monero,"Monero is a private, fungible, open source, decentralized cryptocurrency.",https://github.com/topics/monero
MongoDB,MongoDB is an open source NoSQL document-oriented database.,https://github.com/topics/mongodb
Mongoose,Mongoose is a MongoDB object modeling tool designed to work in an asynchronous environment.,https://github.com/topics/mongoose
Monitoring,"Monitor the impact of your code changes. Measure performance, track errors, and analyze your application.",https://github.com/topics/monitoring
MvvmCross,"The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows, and Mac.",https://github.com/topics/mvvmcross
MySQL,MySQL is an open source relational database management system.,https://github.com/topics/mysql
NativeScript,NativeScript is a JavaScript-native mobile framework.,https://github.com/topics/nativescript
Nim,"Nim is a statically typed, compiled, garbage-collected systems programming language.",https://github.com/topics/nim
Natural language processing,Natural language processing (NLP) is the study of how computers and humans interact.,https://github.com/topics/nlp
Node.js,Node.js is a tool for executing JavaScript in a variety of environments.,https://github.com/topics/nodejs
NoSQL,A NoSQL database refers to a database whose storage format is modeled differently from relational databases.,https://github.com/topics/nosql
npm,npm is a package manager for JavaScript included with Node.js.,https://github.com/topics/npm
Objective-C,"Objective-C is general purpose, object-oriented programming language used for macOS and iOS operating systems.",https://github.com/topics/objective-c
OpenGL,OpenGL is a software interface that allows a programmer to communicate with graphics hardware.,https://github.com/topics/opengl
Operating system,An operating system is a program that manages a computer's programs and applications.,https://github.com/topics/operating-system
P2P,Peer-to-Peer applications are decentralized or distributed.,https://github.com/topics/p2p
Package manager,A package manager is a set of tools that automates and manages computer software.,https://github.com/topics/package-manager
Parsing,Parsing is the process of analyzing a string of symbols conforming to the rules of a formal grammar.,https://github.com/topics/parsing
