Title,Description,URL
Perl,Perl is a highly capable and feature-rich programming language.,https://github.com/topics/perl
Phaser,"Phaser is a fun, free, and fast 2D game framework for making HTML5 games for desktop and mobile web browsers.",https://github.com/topics/phaser
PHP,PHP is a popular general-purpose scripting language that works particularly well for server-side web development.,https://github.com/topics/php
PICO-8,"PICO-8 is a fantasy console for making, sharing and playing tiny games and other computer programs in Lua.",https://github.com/topics/pico-8
Pixel Art,Pixel art is a form of digital art where images are created and edited at the pixel level.,https://github.com/topics/pixel-art
PostgreSQL,PostgreSQL is an open source database system.,https://github.com/topics/postgresql
Project management,Project management is about building scope and executing on the project's goals.,https://github.com/topics/project-management
Publishing,Publishing is the dissemination of making information available to the general public through various mediums.,https://github.com/topics/publishing
PWA,Progressive Web Apps are traditional web sites that are enhanced with native like features.,https://github.com/topics/pwa
Python,Python is a dynamically typed programming language.,https://github.com/topics/python
Qt,"Qt, pronounced ""cute"", is a cross-platform application development framework.",https://github.com/topics/qt
R,R is a free programming language and software environment for statistical computing and graphics.,https://github.com/topics/r
Rails,Ruby on Rails (Rails) is a web application framework written in Ruby.,https://github.com/topics/rails
Raspberry Pi,The Raspberry Pi is a popular single-board computer.,https://github.com/topics/raspberry-pi
Ratchet,Ratchet is a set of libraries to handle WebSockets asynchronously in PHP.,https://github.com/topics/ratchet
React,React is an open source JavaScript library used for designing user interfaces.,https://github.com/topics/react
React Native,React Native is a JavaScript mobile framework developed by Facebook.,https://github.com/topics/react-native
ReactiveUI,"ReactiveUI is a composable, cross-platform model-view-viewmodel framework for all .NET platforms.",https://github.com/topics/reactiveui
Redux,Redux is a predictable state container for JavaScript apps.,https://github.com/topics/redux
REST API,A representational state transfer (REST) API is a way to provide compatibility between computer systems on the internet.,https://github.com/topics/rest-api
Ruby,Ruby is a scripting language designed for simplified object-oriented programming.,https://github.com/topics/ruby
Rust,Rust is a systems programming language created by Mozilla.,https://github.com/topics/rust
Sass,Sass is a stable extension to classic CSS.,https://github.com/topics/sass
Scala,Scala is an object-oriented programming language.,https://github.com/topics/scala
scikit-learn,scikit-learn is a Python module for machine learning.,https://github.com/topics/scikit-learn
Software-defined networking,"Software-defined networking (SDN) is an architecture for programmable, centrally managed networks.",https://github.com/topics/sdn
Security,"Cybersecurity is the protection of computer hardware, software, and data from theft, damage, and malicious intent.",https://github.com/topics/security
Server,A server is a program made to process requests and deliver data to clients.,https://github.com/topics/server
Serverless,Serverless architecture refers to apps that depend on third-party services or custom code.,https://github.com/topics/serverless
Shell,"A shell is a command-line tool, designed to be run by the Unix shell.",https://github.com/topics/shell
